millis,sequence,total_us,max_us,avg_us,overrun_count,dropped_reports,previous_write_us,b00_baro_adc_us,b01_base_us,b02_imu_wind_us,b03_cpu_report_us,b04_base_us,b05_baro_adc_us,b06_base_us,b07_imu_us,b08_base_us,b09_gps_us,b10_baro_adc_us,b11_base_us,b12_imu_wind_us,b13_base_us,b14_base_us,b15_baro_adc_us,b16_base_us,b17_imu_us,b18_base_us,b19_thermal_detect_nav_us,b20_baro_adc_us,b21_base_us,b22_imu_wind_us,b23_base_us,b24_base_us,b25_baro_adc_us,b26_base_us,b27_imu_us,b28_base_us,b29_log_us,b30_baro_adc_us,b31_base_us,b32_imu_wind_us,b33_base_us,b34_base_us,b35_baro_adc_us,b36_base_us,b37_imu_us,b38_base_us,b39_display_us,b40_baro_adc_us,b41_base_us,b42_imu_wind_us,b43_base_us,b44_base_us,b45_baro_adc_us,b46_base_us,b47_imu_us,b48_base_us,b49_temp_rh_start_us,b50_baro_adc_us,b51_base_us,b52_imu_wind_us,b53_base_us,b54_base_us,b55_baro_adc_us,b56_base_us,b57_imu_us,b58_base_us,b59_gps_us,b60_baro_adc_us,b61_base_us,b62_imu_wind_us,b63_base_us,b64_base_us,b65_baro_adc_us,b66_base_us,b67_imu_us,b68_base_us,b69_thermal_nav_us,b70_baro_adc_us,b71_base_us,b72_imu_wind_us,b73_base_us,b74_base_us,b75_baro_adc_us,b76_base_us,b77_imu_us,b78_base_us,b79_power_sd_us,b80_baro_adc_us,b81_base_us,b82_imu_wind_us,b83_base_us,b84_base_us,b85_baro_adc_us,b86_base_us,b87_imu_us,b88_base_us,b89_display_us,b90_baro_adc_us,b91_base_us,b92_imu_wind_us,b93_base_us,b94_base_us,b95_baro_adc_us,b96_base_us,b97_imu_us,b98_base_us,b99_temp_rh_read_us,b00_button_mask,b01_button_mask,b02_button_mask,b03_button_mask,b04_button_mask,b05_button_mask,b06_button_mask,b07_button_mask,b08_button_mask,b09_button_mask,b10_button_mask,b11_button_mask,b12_button_mask,b13_button_mask,b14_button_mask,b15_button_mask,b16_button_mask,b17_button_mask,b18_button_mask,b19_button_mask,b20_button_mask,b21_button_mask,b22_button_mask,b23_button_mask,b24_button_mask,b25_button_mask,b26_button_mask,b27_button_mask,b28_button_mask,b29_button_mask,b30_button_mask,b31_button_mask,b32_button_mask,b33_button_mask,b34_button_mask,b35_button_mask,b36_button_mask,b37_button_mask,b38_button_mask,b39_button_mask,b40_button_mask,b41_button_mask,b42_button_mask,b43_button_mask,b44_button_mask,b45_button_mask,b46_button_mask,b47_button_mask,b48_button_mask,b49_button_mask,b50_button_mask,b51_button_mask,b52_button_mask,b53_button_mask,b54_button_mask,b55_button_mask,b56_button_mask,b57_button_mask,b58_button_mask,b59_button_mask,b60_button_mask,b61_button_mask,b62_button_mask,b63_button_mask,b64_button_mask,b65_button_mask,b66_button_mask,b67_button_mask,b68_button_mask,b69_button_mask,b70_button_mask,b71_button_mask,b72_button_mask,b73_button_mask,b74_button_mask,b75_button_mask,b76_button_mask,b77_button_mask,b78_button_mask,b79_button_mask,b80_button_mask,b81_button_mask,b82_button_mask,b83_button_mask,b84_button_mask,b85_button_mask,b86_button_mask,b87_button_mask,b88_button_mask,b89_button_mask,b90_button_mask,b91_button_mask,b92_button_mask,b93_button_mask,b94_button_mask,b95_button_mask,b96_button_mask,b97_button_mask,b98_button_mask,b99_button_mask,b00_button_event_mask,b01_button_event_mask,b02_button_event_mask,b03_button_event_mask,b04_button_event_mask,b05_button_event_mask,b06_button_event_mask,b07_button_event_mask,b08_button_event_mask,b09_button_event_mask,b10_button_event_mask,b11_button_event_mask,b12_button_event_mask,b13_button_event_mask,b14_button_event_mask,b15_button_event_mask,b16_button_event_mask,b17_button_event_mask,b18_button_event_mask,b19_button_event_mask,b20_button_event_mask,b21_button_event_mask,b22_button_event_mask,b23_button_event_mask,b24_button_event_mask,b25_button_event_mask,b26_button_event_mask,b27_button_event_mask,b28_button_event_mask,b29_button_event_mask,b30_button_event_mask,b31_button_event_mask,b32_button_event_mask,b33_button_event_mask,b34_button_event_mask,b35_button_event_mask,b36_button_event_mask,b37_button_event_mask,b38_button_event_mask,b39_button_event_mask,b40_button_event_mask,b41_button_event_mask,b42_button_event_mask,b43_button_event_mask,b44_button_event_mask,b45_button_event_mask,b46_button_event_mask,b47_button_event_mask,b48_button_event_mask,b49_button_event_mask,b50_button_event_mask,b51_button_event_mask,b52_button_event_mask,b53_button_event_mask,b54_button_event_mask,b55_button_event_mask,b56_button_event_mask,b57_button_event_mask,b58_button_event_mask,b59_button_event_mask,b60_button_event_mask,b61_button_event_mask,b62_button_event_mask,b63_button_event_mask,b64_button_event_mask,b65_button_event_mask,b66_button_event_mask,b67_button_event_mask,b68_button_event_mask,b69_button_event_mask,b70_button_event_mask,b71_button_event_mask,b72_button_event_mask,b73_button_event_mask,b74_button_event_mask,b75_button_event_mask,b76_button_event_mask,b77_button_event_mask,b78_button_event_mask,b79_button_event_mask,b80_button_event_mask,b81_button_event_mask,b82_button_event_mask,b83_button_event_mask,b84_button_event_mask,b85_button_event_mask,b86_button_event_mask,b87_button_event_mask,b88_button_event_mask,b89_button_event_mask,b90_button_event_mask,b91_button_event_mask,b92_button_event_mask,b93_button_event_mask,b94_button_event_mask,b95_button_event_mask,b96_button_event_mask,b97_button_event_mask,b98_button_event_mask,b99_button_event_mask,b00_display_context,b01_display_context,b02_display_context,b03_display_context,b04_display_context,b05_display_context,b06_display_context,b07_display_context,b08_display_context,b09_display_context,b10_display_context,b11_display_context,b12_display_context,b13_display_context,b14_display_context,b15_display_context,b16_display_context,b17_display_context,b18_display_context,b19_display_context,b20_display_context,b21_display_context,b22_display_context,b23_display_context,b24_display_context,b25_display_context,b26_display_context,b27_display_context,b28_display_context,b29_display_context,b30_display_context,b31_display_context,b32_display_context,b33_display_context,b34_display_context,b35_display_context,b36_display_context,b37_display_context,b38_display_context,b39_display_context,b40_display_context,b41_display_context,b42_display_context,b43_display_context,b44_display_context,b45_display_context,b46_display_context,b47_display_context,b48_display_context,b49_display_context,b50_display_context,b51_display_context,b52_display_context,b53_display_context,b54_display_context,b55_display_context,b56_display_context,b57_display_context,b58_display_context,b59_display_context,b60_display_context,b61_display_context,b62_display_context,b63_display_context,b64_display_context,b65_display_context,b66_display_context,b67_display_context,b68_display_context,b69_display_context,b70_display_context,b71_display_context,b72_display_context,b73_display_context,b74_display_context,b75_display_context,b76_display_context,b77_display_context,b78_display_context,b79_display_context,b80_display_context,b81_display_context,b82_display_context,b83_display_context,b84_display_context,b85_display_context,b86_display_context,b87_display_context,b88_display_context,b89_display_context,b90_display_context,b91_display_context,b92_display_context,b93_display_context,b94_display_context,b95_display_context,b96_display_context,b97_display_context,b98_display_context,b99_display_context
301503,1,143348,36051,1433,4,0,0,0,36051,1056,137,36,496,423,1943,461,860,225,377,2146,221,374,476,373,2259,226,392,429,381,720,154,350,558,406,15192,204,35,391,338,582,383,316,140,340,1930,177,11981,545,33,2227,443,129,351,295,1848,488,602,126,338,2164,239,432,442,368,1988,195,745,826,418,2576,228,377,523,389,2501,225,390,526,387,2578,231,374,517,388,2555,226,1164,625,403,2655,231,375,521,385,2586,231,11951,668,21,2705,589,132,351,361,2320,503,799,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
302464,2,1123017,1009204,11230,4,0,0,156,356,2609,1009204,640,46,576,12300,511,361,580,406,801,163,354,497,408,2576,232,406,525,393,2650,229,375,520,387,2752,233,404,530,392,2665,230,376,512,385,2590,238,11962,662,21,2714,586,131,350,517,2489,520,633,145,358,2674,230,376,517,389,2581,233,713,585,395,2674,232,375,563,393,2626,233,397,561,394,2702,233,377,549,391,2615,235,1166,661,392,858,159,359,565,403,2633,239,11969,723,21,2720,623,146,355,397,2393,504,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
304455,3,116442,17663,1164,1,0,1008033,163,350,2720,17663,525,18,513,2413,505,763,186,363,2711,231,379,555,387,2629,235,397,578,385,2697,233,375,562,388,2639,233,441,664,410,2727,233,376,559,384,2651,241,7580,736,402,2741,230,374,559,480,2831,242,408,637,392,2713,231,376,559,387,2646,235,724,657,389,2717,231,376,558,389,2646,233,397,579,392,2700,233,376,556,385,790,162,1168,631,388,2709,232,374,557,388,2645,238,7524,740,401,2740,229,377,556,385,2651,234,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
305454,4,124435,17676,1244,1,0,16494,598,392,2706,17676,525,17,518,2414,505,787,192,364,2718,232,376,560,384,2639,235,398,579,392,2699,233,374,560,388,2643,233,402,701,410,2713,231,376,559,386,2642,240,7522,739,402,2739,231,374,559,479,2834,247,786,614,386,2708,232,377,556,388,2650,235,729,661,389,2717,231,376,558,389,792,162,375,554,399,2686,233,376,558,383,2639,236,1168,669,395,2719,231,373,563,389,2643,238,7524,741,402,2733,231,376,561,384,2645,7475,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0
306454,5,153986,17675,1539,3,0,16507,677,401,2725,17675,531,19,519,2415,508,15481,247,13,2628,629,153,351,406,2353,668,579,7549,471,2860,241,376,573,448,2700,14920,523,22,588,2467,509,471,154,360,2645,397,7676,772,407,2730,234,374,560,528,2819,253,581,625,395,2718,235,376,570,384,2651,236,728,655,390,864,166,359,557,398,2645,235,402,580,390,2705,232,377,561,389,2644,235,1163,668,389,2718,234,374,566,387,2643,239,7638,755,403,2731,231,376,561,385,2644,234,759,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
307454,6,133433,17675,1334,2,0,16499,595,392,2704,17675,525,18,518,2415,505,787,192,364,2716,232,377,560,384,2639,235,397,579,392,2701,233,374,560,388,2642,233,402,579,389,2867,231,375,557,385,2644,240,7628,753,401,2731,229,374,560,483,2811,291,452,636,386,861,167,356,552,386,2642,7598,857,682,395,2700,235,372,558,385,2643,232,395,574,384,2702,231,373,11178,500,2283,791,1014,398,501,2492,512,473,149,526,2769,237,5374,790,395,2724,234,533,681,405,2674,245,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
308454,7,128545,17727,1285,2,0,16506,598,394,2769,17727,526,18,518,2420,505,783,191,368,2717,232,376,559,387,2642,235,400,579,387,2699,232,375,558,388,2645,233,402,583,386,2879,234,375,565,385,2655,240,5267,780,395,2728,233,374,559,444,995,198,805,626,396,2689,231,376,570,396,2639,235,729,658,385,2722,232,376,560,388,2643,233,397,575,388,2695,233,376,561,388,2641,235,1169,5610,494,2837,236,374,560,387,2646,241,5239,787,394,2728,235,376,10961,497,2281,789,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0
309454,8,161698,31763,1616,3,0,16564,381,470,2507,17960,695,152,530,2811,235,718,662,391,2723,233,427,598,394,2654,236,404,577,386,2696,232,375,559,388,2645,233,402,578,390,2699,233,408,658,408,818,160,5499,783,396,2728,233,374,556,479,2793,242,548,638,394,2714,231,376,564,384,2648,235,729,657,387,2718,231,376,559,389,2644,234,399,580,386,2701,233,376,560,385,2647,5592,1271,687,393,2727,238,376,562,387,2637,31763,16048,800,20,2660,633,144,352,560,2476,506,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310475,9,151173,17736,1511,4,0,16489,170,355,2725,17736,582,22,530,2435,511,787,190,367,2730,235,375,561,388,2643,232,390,578,394,2703,234,376,560,385,2645,235,393,571,389,2690,239,389,623,402,2685,237,15955,797,20,2709,630,210,433,555,2434,509,651,133,359,2701,233,375,559,388,2637,233,728,16333,497,2338,634,148,352,411,533,379,447,160,353,2701,231,375,566,398,17127,240,850,552,585,644,379,451,170,364,2658,393,6778,781,395,2730,233,374,556,438,2696,235,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
311474,10,189438,57339,1894,2,0,16570,595,389,2706,17522,528,19,518,2414,508,787,190,367,2730,232,375,562,386,2639,233,390,578,394,2705,233,376,560,384,2644,235,393,571,389,2690,232,411,656,413,9222,236,6758,790,395,2732,235,438,707,464,2735,237,391,57339,656,2719,659,268,555,542,2658,1408,461,894,416,2788,233,391,568,383,2782,480,425,641,400,2717,237,374,559,384,2797,234,1164,6917,500,2836,234,388,565,383,2799,289,6171,774,401,2722,234,378,553,387,2705,247,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
