millis,event,sequence,route,method,uri,duration_ms,started_ms,free_heap,min_free_heap,largest_free_block,max_alloc_heap,wifi_status,wifi_mode,rssi,ap_stations,using_leaf_wifi,provisioning,current_task
29555,"start",1,"GET /generate_204","GET","/generate_204",0,29543,81764,35600,31732,31732,6,3,0,1,1,1,"loopTask"
29573,"end",1,"GET /generate_204","GET","/generate_204",24,29543,76028,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32241,"start",2,"GET /generate_204","GET","/generate_204",0,32235,77384,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32256,"end",2,"GET /generate_204","GET","/generate_204",14,32235,75400,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32332,"start",3,"GET /wifi","GET","/wifi",0,32326,77140,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32350,"end",3,"GET /wifi","GET","/wifi",14,32326,77132,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32396,"start",4,"GET /generate_204","GET","/generate_204",0,32389,71464,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32410,"end",4,"GET /generate_204","GET","/generate_204",14,32389,71464,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32430,"start",5,"GET /api/wifi/networks","GET","/api/wifi/networks",0,32422,71436,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32444,"end",5,"GET /api/wifi/networks","GET","/api/wifi/networks",15,32422,69108,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32470,"start",6,"NOT_FOUND","GET","/favicon.ico",0,32464,74268,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32485,"end",6,"NOT_FOUND","GET","/favicon.ico",13,32464,74060,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32501,"start",7,"GET /generate_204","GET","/generate_204",0,32494,74248,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32517,"end",7,"GET /generate_204","GET","/generate_204",15,32494,74248,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32533,"start",8,"GET /wifi","GET","/wifi",0,32527,77096,35600,31732,31732,6,3,0,1,1,1,"loopTask"
32550,"end",8,"GET /wifi","GET","/wifi",14,32527,77104,35600,31732,31732,6,3,0,1,1,1,"loopTask"
38233,"start",9,"POST /api/wifi/connect","POST","/api/wifi/connect",0,38227,77048,35600,31732,31732,6,3,0,1,1,1,"loopTask"
38285,"end",9,"POST /api/wifi/connect","POST","/api/wifi/connect",51,38227,73832,35600,31732,31732,6,3,0,1,1,1,"loopTask"
38728,"start",10,"GET /api/wifi/status","GET","/api/wifi/status",0,38721,75832,35600,31732,31732,0,3,-55,1,1,1,"loopTask"
38752,"end",10,"GET /api/wifi/status","GET","/api/wifi/status",24,38721,75832,35600,31732,31732,0,3,-55,1,1,1,"loopTask"
40284,"start",11,"GET /api/wifi/status","GET","/api/wifi/status",0,40278,75956,35600,31732,31732,3,3,-55,1,1,1,"loopTask"
40309,"end",11,"GET /api/wifi/status","GET","/api/wifi/status",25,40278,72008,35600,31732,31732,3,3,-55,1,1,1,"loopTask"
59760,"start",12,"GET /app","GET","/app",0,59753,83728,22044,31732,31732,3,1,-60,0,0,0,"loopTask"
59865,"end",12,"GET /app","GET","/app",105,59753,81692,22044,31732,31732,3,1,-60,0,0,0,"loopTask"
59935,"start",13,"GET /api/user/status","GET","/api/user/status",0,59928,75668,22044,31732,31732,3,1,-60,0,0,0,"loopTask"
59953,"end",13,"GET /api/user/status","GET","/api/user/status",16,59928,72164,22044,31732,31732,3,1,-60,0,0,0,"loopTask"
59971,"start",14,"GET /api/profiles","GET","/api/profiles",0,59965,75000,22044,31732,31732,3,1,-60,0,0,0,"loopTask"
60011,"end",14,"GET /api/profiles","GET","/api/profiles",41,59965,75000,22044,31732,31732,3,1,-60,0,0,0,"loopTask"
