millis,event,cycle,enabled,using_leaf_wifi,provisioning,connecting,ready,wifi_status,wifi_mode,ap_stations,local_ip,ap_ip,ssid,target_ssid,connect_error,connect_started_ms,connected_ms,connected_elapsed_ms,free_heap,max_alloc_heap
17284,"setup-started",1,1,1,1,0,0,6,3,0,"0.0.0.0","192.168.4.1","","","",0,0,0,86188,31732
18284,"loop",1,1,1,1,0,0,6,3,0,"0.0.0.0","192.168.4.1","","","",0,0,0,81660,31732
19285,"loop",1,1,1,1,0,0,6,3,0,"0.0.0.0","192.168.4.1","","","",0,0,0,80540,31732
20285,"loop",1,1,1,1,0,0,6,3,0,"0.0.0.0","192.168.4.1","","","",0,0,0,79528,31732
21285,"loop",1,1,1,1,0,0,6,3,0,"0.0.0.0","192.168.4.1","","","",0,0,0,82668,31732
22285,"loop",1,1,1,1,0,0,6,3,0,"0.0.0.0","192.168.4.1","","","",0,0,0,82668,31732
23286,"loop",1,1,1,1,0,0,6,3,0,"0.0.0.0","192.168.4.1","","","",0,0,0,82668,31732
24288,"loop",1,1,1,1,0,0,6,3,0,"0.0.0.0","192.168.4.1","","","",0,0,0,82668,31732
25289,"loop",1,1,1,1,0,0,6,3,0,"0.0.0.0","192.168.4.1","","","",0,0,0,82668,31732
26289,"loop",1,1,1,1,0,0,6,3,0,"0.0.0.0","192.168.4.1","","","",0,0,0,82668,31732
27289,"loop",1,1,1,1,0,0,6,3,0,"0.0.0.0","192.168.4.1","","","",0,0,0,82668,31732
28289,"loop",1,1,1,1,0,0,6,3,1,"0.0.0.0","192.168.4.1","","","",0,0,0,80168,31732
29289,"loop",1,1,1,1,0,0,6,3,1,"0.0.0.0","192.168.4.1","","","",0,0,0,80112,31732
30289,"loop",1,1,1,1,0,0,6,3,1,"0.0.0.0","192.168.4.1","","","",0,0,0,79408,31732
31289,"loop",1,1,1,1,0,0,6,3,1,"0.0.0.0","192.168.4.1","","","",0,0,0,79408,31732
32289,"loop",1,1,1,1,0,0,6,3,1,"0.0.0.0","192.168.4.1","","","",0,0,0,76856,31732
33289,"loop",1,1,1,1,0,0,6,3,1,"0.0.0.0","192.168.4.1","","","",0,0,0,79156,31732
34289,"loop",1,1,1,1,0,0,6,3,1,"0.0.0.0","192.168.4.1","","","",0,0,0,79156,31732
35289,"loop",1,1,1,1,0,0,6,3,1,"0.0.0.0","192.168.4.1","","","",0,0,0,79156,31732
36289,"loop",1,1,1,1,0,0,6,3,1,"0.0.0.0","192.168.4.1","","","",0,0,0,79156,31732
37289,"loop",1,1,1,1,0,0,6,3,1,"0.0.0.0","192.168.4.1","","","",0,0,0,79156,31732
38264,"connect-request",1,1,1,1,1,0,6,3,1,"0.0.0.0","192.168.4.1","","SkyWagon","",38264,0,0,76928,31732
38733,"status",1,1,1,1,1,0,0,3,1,"0.0.0.0","192.168.4.1","SkyWagon","SkyWagon","",38264,0,0,75836,31732
39263,"transition-connected",1,1,1,1,0,0,3,3,1,"10.0.0.211","192.168.4.1","SkyWagon","SkyWagon","",38264,39245,24,77404,31732
40263,"loop",1,1,1,1,0,0,3,3,1,"10.0.0.211","192.168.4.1","SkyWagon","SkyWagon","",38264,39245,1023,77404,31732
40291,"status",1,1,1,1,0,0,3,3,1,"10.0.0.211","192.168.4.1","SkyWagon","SkyWagon","",38264,39245,1052,75972,31732
41291,"loop",1,1,1,1,0,0,3,3,1,"10.0.0.211","192.168.4.1","SkyWagon","SkyWagon","",38264,39245,2052,77780,31732
42291,"loop",1,1,1,1,0,0,3,3,1,"10.0.0.211","192.168.4.1","SkyWagon","SkyWagon","",38264,39245,3053,77436,31732
43291,"loop",1,1,1,1,0,0,3,3,1,"10.0.0.211","192.168.4.1","SkyWagon","SkyWagon","",38264,39245,4052,77780,31732
44245,"transition-start",1,1,1,1,0,1,3,3,1,"10.0.0.211","192.168.4.1","SkyWagon","SkyWagon","",38264,39245,5006,77780,31732
44255,"disable-start",1,1,1,1,0,1,3,3,1,"10.0.0.211","192.168.4.1","SkyWagon","SkyWagon","",38264,39245,5016,77780,31732
44480,"disable-finished",1,0,0,0,0,0,3,1,0,"10.0.0.211","0.0.0.0","SkyWagon","","",38264,0,0,30940,20468
44490,"transition-finished",1,0,0,0,0,0,3,1,0,"10.0.0.211","0.0.0.0","SkyWagon","","",38264,0,0,30940,20468
54412,"enable-user-app-network",1,1,0,0,0,0,3,1,0,"10.0.0.211","0.0.0.0","SkyWagon","","",38264,0,0,85920,31732
82556,"disable-start",1,1,0,0,0,0,3,1,0,"10.0.0.211","0.0.0.0","SkyWagon","","",38264,0,0,84988,31732
82716,"disable-finished",1,0,0,0,0,0,3,1,0,"10.0.0.211","0.0.0.0","SkyWagon","","",38264,0,0,29552,20468
